No.,English,IPA(美式),近似?,出现页,出现次数
2708,immigration,/ˌɪməgrˈeɪʃən/,,214,1
2709,impotent,/ˈɪmpətənt/,,22,1
2710,in,/in/,,322,1
2711,in brine,/ɪn brˈaɪn/,,145,1
2712,in front of,/ɪn frˈʌnt ˈʌv/,,322,1
2713,in oil,/ɪn ˈɔɪl/,,145,1
2714,in syrup,/ɪn sɝəp/,,161,1
2715,in-goal area,/ˈɛrriə/,,223,1
2716,in-tray,/ɪn trˈeɪ/,,174,1
2717,inbox,/ˈɪnbˌɑks/,,179,1
2718,inch,/ˈɪntʃ/,,312,1
2719,incisor,/ˌɪnsˈaɪzɚ/,,52,1
2720,index finger,/ˈɪndɛks fˈɪŋgɚ/,,17,1
2721,India,/ˈindjə/,,320,1
2722,Indian Ocean,/ˈɪndiən oʊʃən/,,315,1
2723,indicator,/ˈindikeɪtə/,,200,2
2724,indigo,/ˈindigoʊ/,,276,1
2725,Indonesia,/ˌɪndoʊnˈiʒə/,,321,1
2726,industrial estate,/ˌɪndˈʌstriəl ɪstˈeɪt/,,301,1
2727,infection,/inˈfekʃən/,,46,1
2728,infertile,/ˌɪnfɝtəl/,,22,1
2729,infield left field,/ˈɪnfˌild lˈɛft fˈild/,,230,1
2730,inflatable dinghy,/ɪnflˈeɪtəbəl dˈɪŋi/,,217,1
2731,information,/ˌɪnfɚmˈeɪʃən/,,263,1
2732,information screen,/ˌɪnfɚmˈeɪʃən skrˈin/,,215,1
2733,inhaler,/inˈheɪlə/,,46,2
2734,injection,/inˈdʒekʃən/,,50,1
2735,injury,/ˈindʒəri/,,48,1
2736,ink pad,/ˈɪŋk pˈæd/,,175,1
2737,ink sketch pad,/ˈɪŋk skˈɛtʃ pˈæd/,,277,1
2738,inlet,/ˈɪnlˌɛt/,,63,1
2739,inner core,/ˈɪnɚ kˈɔr/,,284,1
2740,inner tube,/ˈɪnɚ tˈub/,,209,1
2741,inning,/ˈɪnɪŋ/,,230,1
2742,innocent,/ˈinəsənt/,,183,1
2743,inoculation,/ˌɪnˌɑkjəlˈeɪʃən/,,47,1
2744,insect repellent,/ˈɪnsˌɛkt rɪpˈɛlənt/,,110,2
2745,inside,/ˈinˈsaɪd/,,322,1
2746,inside lane,/ˌɪnsˈaɪd lˈeɪn/,,196,1
2747,insomnia,/inˈsɑmniə/,,73,1
2748,inspector,/ˌɪnspˈɛktɚ/,,96,1
2749,instal,/ɪnstɔll/,是,179,1
2750,instant camera,/ˈɪnstənt kˈæmɚə/,,272,1
2751,instep,/ɪnstɛp/,是,17,1
2752,instructions,/ˌɪnstrˈʌkʃənz/,,111,1
2753,instruments,/ˈinstrumənt/,,258,2
2754,insulating,/ˈɪnsəlˌeɪtɪŋ/,,83,1
2755,insulation,/ˌɪnsəlˈeɪʃən/,,63,1
2756,insulin,/ˈinsjulin/,,111,1
2757,insurance,/inˈʃurəns/,,205,1
2758,intensive care unit,/ˌɪntˈɛnsɪv kˈɛr jˈunət/,,50,1
2759,inter-city train,/treɪn/,,211,1
2760,intercom,/ˈɪntɚkˌɑm/,,61,1
2761,intercostal,/ɪntɛrrkɑstɔll/,是,18,1
2762,intercourse,/ˈɪntɚkˌɔrs/,,22,1
2763,interest rate,/ˈɪntrəst rˈeɪt/,,98,1
2764,interesting,/ˈintristiŋ/,,323,1
2765,interior,/inˈtiəriə/,,202,1
2766,internal organs,/ˌɪntɝnəl ˈɔrgənz/,,20,1
2767,internal systems,/ˌɪntɝnəl sˈɪstəmz/,,62,1
2768,international,/ˌɪntɚnˈæʃənəl/,,214,1
2769,internet,/ˈintənet/,,179,1
2770,intersection,/ˌɪntɚsˈɛkʃən/,,300,1
2771,interval,/ˈɪntɚvəl/,,256,1
2772,interviewer,/ˈintəvjuːə/,,181,1
2773,into,/ˈintuː/,,322,1
2774,invertebrates,/ˌɪnvɝtəbrəts/,,297,1
2775,investigation police cell,/ˌɪnvˌɛstəgˈeɪʃən pəlˈis sˈɛl/,,96,1
2776,ionosphere,/ˌaɪˈɑnɔsfˌir/,,288,1
2777,Iran,/iˈrɑːn/,,320,1
2778,Iraq,/iˈrɑːk/,,320,1
2779,Ireland,/ˈaɪrlənd/,,318,1
2780,iris,/ˈaɪrəs/,,53,2
2781,iron,/ˈaɪrn/,,78,5
2782,Is it machine,/ˈɪz ˈɪt məʃˈin/,,33,1
2783,Is there a price,/ˈɪz ðˈɛr ə prˈaɪs/,,155,1
2784,Is this the road,/ˈɪz ðˈɪs ðə roʊd/,,197,1
2785,island,/ˈaɪlənd/,,284,1
2786,Israel,/ˈizreɪl/,,320,1
2787,It hurts,/ˈɪt hɝts/,,47,1
2788,It hurts here,/ˈɪt hɝts hˈir/,,325,1
2789,Italy,/ˈitəli/,,318,1
2790,itinerary,/aɪˈtinərəri/,,262,1
2791,It’s,/ˈɪt ˈɛs/,,288,2
2792,It’s awful,/ˈɪt ˈɛs ˈɑfəl/,,325,1
2793,It’s delicious,/diˈliʃəs/,,325,1
2794,It’s February,/ˈfebruəri/,,309,1
2795,It’s getting,/ˈetiŋ/,,307,1
2796,It’s three,/θriː/,,306,1
2797,It’s your,/juə/,,275,1
2798,IUD,/ɪʌd/,是,23,1
2799,Ivory Coast,/ˈaɪvɚi koʊst/,,319,1
2800,I’d like a room for three,/laɪk/,,103,1
2801,I’d like a single,/laɪk/,,103,1
2802,I’d like this processed,/laɪk/,,273,1
2803,I’d like two tickets for tonight’s,/laɪk/,,257,1
2804,I’ll be back at o’clock,/biː/,,325,1
2805,I’ll be there,/biː/,,307,1
2806,I’ll see you,/siː/,,307,1
2807,I’m,/ˈaɪ ˈɛm/,,262,2
2808,I’m allergic to,/əˈləːdʒik/,,325,1
2809,I’m leaving tomorrow,/ˈliːviŋ/,,325,1
2810,I’m months pregnant,/mʌnθ/,,325,1
2811,I’m sorry,/ˈaɪ ˈɛm sˈɑri/,,324,1
2812,I’ve broken,/ˈbroʊkən/,,205,1
2813,I’ve had,/hæd/,,66,1
2814,J,/dʒˈeɪ/,,275,1
2815,jack,/dʒæk/,,205,2
2816,jacket,/ˈdʒækit/,,34,2
2817,jade,/dʒˈeɪd/,,290,1
2818,jam,/dʒæm/,,158,1
2819,Jamaica,/dʒəˈmeɪkə/,,316,1
2820,January,/ˈdʒænjuəri/,,308,2
2821,Japan,/dʒəˈpæn/,,320,1
2822,jar,/dʒɑː/,,136,1
2823,javelin,/ˈdʒævlin/,,236,1
2824,jaw,/dʒɑː/,,16,2
2825,jeans,/dʒiːnz/,,33,1
2826,jellybean,/dʒɛllɪbin/,是,115,1
2827,Jerusalem artichoke,/dʒɚˈusələm ˈɑrtətʃoʊk/,,127,1
2828,jet,/dʒet/,,290,1
2829,jet skiing,/dʒˈɛt skˈiɪŋ/,,243,1
2830,jetty,/dʒˈɛti/,,219,1
2831,jeweller,/dʒɛwɛllɛrr/,是,190,1
2832,jewellery,/ˈdʒuːəlri/,,38,1
2833,jewellery making,/ˈdʒuːəlri/,,277,1
2834,jeweller’s,/dʒɛwɛllɛrr ˈɛs/,是,116,1
2835,jigsaw,/dʒˈɪgsˌɔ/,,80,1
2836,jodhpurs,/dʒˈɔdpɚ/,,244,1
2837,jog on the spot,/dʒˈɑg ˈɑn ðə spˈɑt/,,253,1
2838,jogging,/ˈdʒɑgiŋ/,,253,2
2839,joint,/dʒɑint/,,19,2
2840,joker,/ˈdʒoʊkə/,,275,1
2841,Jordan,/ˈdʒɑːdən/,,320,1
2842,journal,/ˈdʒəːnəl/,,170,1
2843,journalist,/ˈdʒəːnəlist/,,193,1
2844,judge,/dʒʌdʒ/,,182,1
2845,jug,/dʒˈʌg/,,67,1
2846,juice,/dʒuːs/,,129,1
2847,juices and milkshakes,/dʒuːs/,,151,1
2848,juicy sweet,/dʒˈusi swˈit/,,129,1
2849,July,/dʒuːˈlaɪ/,,308,1
2850,jump,/dʒʌmp/,,229,2
2851,jump ball,/dʒˈʌmp bˈɔl/,,228,1
2852,junction,/dʒˈʌŋkʃən/,,196,1
2853,June,/dʒuːn/,,308,1
2854,Jupiter,/ˈdʒuːpitə/,,282,1
2855,jury,/ˈdʒuəri/,,182,1
2856,jury box,/dʒˈʊri bˈɑks/,,182,1
2857,K,/kˈeɪ/,,275,1
2858,kale,/kˈeɪl/,,125,1
2859,Kaliningrad,/kəlˈɪnɪŋgrˌæd/,,318,1
2860,kangaroo,/kˌæŋgɚˈu/,,293,1
2861,kayak,/ˈkaɪæk/,,243,1
2862,Kazakhstan,/ˌkæzəkˈstæn/,,320,1
2863,kebab,/kəbˈɑb/,,157,1
2864,keel,/kˈil/,,216,1
2865,keep net,/kˈip nˈɛt/,,246,1
2866,Keep off the grass,/kˈip ˈɔf ðə grˈæs/,,324,1
2867,Keep to the right,/kˈip tˈu ðə rˈaɪt/,,325,1
2868,kei,/keɪ/,是,275,1
2869,Kenya,/ˈkenjə/,,319,1
2870,kerb,/kɝb/,,300,1
2871,kernel,/kɝnəl/,,124,3
2872,ketchup,/ˈketʃəp/,,137,1
2873,kettle,/ˈketl/,,68,1
2874,kettledrum,/kɛttlɛdrʌm/,是,259,1
2875,key,/kiː/,,61,4
2876,key pad,/kˈi pˈæd/,,99,1
2877,keyboard,/ˈkiːbɑːd/,,174,3
2878,keypad,/ˈkiːpæd/,,101,1
2879,kick,/kik/,,223,2
2880,kickstand,/kɪkstænd/,是,209,1
2881,kid,/kˈɪd/,,187,1
2882,kidney,/ˈkidni/,,20,2
2883,kilogram,/kˈɪləgrˌæm/,,312,1
2884,kilometre,/kˌɪlˈɔmˌətɚ/,,312,1
2885,king,/kiŋ/,,274,1
2886,king A,/kˈɪŋ ə/,,275,1
2887,king prawn,/kˈɪŋ prˈɔn/,,123,1
2888,kippers,/kˈɪpɚz/,,159,1
2889,kitchen,/ˈkitʃin/,,68,1
2890,kitchen knife,/kˈɪtʃən nˈaɪf/,,70,1
2891,kitchenware,/kˈɪtʃənwˌɛr/,,70,2
2892,kitten,/kˈɪtən/,,292,1
2893,kiu,/kɪʌ/,是,275,1
2894,kiwifruit,/ˈkiːwiːfruːt/,,130,1
2895,knee,/niː/,,14,1
2896,knee pad,/nˈi pˈæd/,,207,1
2897,knee support,/nˈi səpˈɔrt/,,229,1
2898,knee-length,/nˈi lˈɛŋkθ/,,36,1
2899,kneecap,/nˈikˌæp/,,19,1
2900,knickers,/nˈɪkɚz/,,37,1
2901,knife,/naɪf/,,67,2
2902,knife sharpener,/naɪf/,,70,2
2903,knight,/naɪt/,,274,1
2904,knitting needle,/nˈɪtɪŋ nˈidəl/,,279,1
2905,Knock before entering,/nˈɑk bɪfˈɔr ˈɛntɚɪŋ/,,324,1
2906,knock out,/nˈɑk ˈaʊt/,,239,1
2907,knuckle,/nˈʌkəl/,,17,1
2908,koala,/kəˈɑːlə/,,293,1
2909,kohlrabi,/kɔlrˈɑbi/,,125,1
2910,kumquat lemon,/kˈʌmkwɑt lˈɛmən/,,128,1
2911,kung fu,/kˈʌŋ fˈu/,,238,1
2912,Kuwait,/kəˈwaɪt/,,320,1
2913,Kyrgyzstan,/kˈɪrgɪstˌæn/,,320,1
2914,la carte,/lˈɑ kˈɑrt/,,154,1
2915,label,/lˈeɪbəl/,,174,1
2916,labels,/lˈeɪbəlz/,,91,1
2917,labia,/læbɪæ/,是,22,1
2918,laboratory,/ˈlæbrətəri/,,168,1
2919,lace,/lˈeɪs/,,37,2
2920,lace bobbin,/lˈeɪs bˈɑbən/,,279,1
2921,lace-making,/lˈeɪs mˈeɪkɪŋ/,,279,1
2922,lace-up,/lˈeɪs ˈʌp/,,39,1
2923,lacrosse,/ləkrˈɔs/,,251,1
2924,lactose,/lˈæktoʊs/,,139,1
2925,ladder,/ˈlædə/,,188,1
2926,ladder boom,/lˈædɚ bˈum/,,97,1
2927,ladle,/ˈleɪdl/,,70,1
2928,ladybird,/ˈleɪdibəːd/,,297,1
2929,lake,/leɪk/,,287,1
2930,lamb,/lˈæm/,,187,1
2931,lamp,/læmp/,,64,3
2932,land,/lænd/,,213,2
2933,landing,/ˈlændiŋ/,,61,1
2934,landing net,/lˈændɪŋ nˈɛt/,,246,1
2935,landlord townhouse,/lˈændlˌɔrd tˈaʊnhˌaʊs/,,60,1
2936,landscape,/ˈlændskeɪp/,,93,3
2937,lane,/leɪn/,,236,1
2938,languages,/ˈlæŋgwidʒ/,,164,1
2939,Laos,/laʊz/,,320,1
2940,lapel,/ləpˈɛl/,,34,1
2941,laptop,/lˈæptˌɑp/,,177,2
2942,larch,/lˈɑrtʃ/,,298,1
2943,large,/lɑːdʒ/,,323,1
2944,large intestine,/lˈɑrdʒ ˌɪntˈɛstən/,,20,1
2945,larynx,/lˈɛrɪŋks/,,21,1
2946,last,/lɑːst/,,322,1
2947,last week,/lˈæst wˈik/,,309,1
2948,late,/leɪt/,,307,2
2949,later,/lˈeɪtɚ/,,306,2
2950,latissimus dorsi,/lætɪssɪmʌs dˈɔrsi/,是,18,1
2951,latitude,/ˈlætitjuːd/,,285,1
2952,Latvia,/lˈætviə/,,318,1
2953,laugh,/lɑːf/,,27,1
2954,launch,/lˈɔntʃ/,,283,1
2955,launch pad,/lˈɔntʃ pˈæd/,,283,1
2956,laundry,/ˈlɑːndri/,,78,1
2957,laundry basket,/lˈɔndri bˈæskət/,,78,1
2958,laundry service,/lˈɔndri sɝvəs/,,103,1
2959,lava,/ˈlɑːvə/,,285,1
2960,law,/lɑː/,,171,2
2961,lawn,/lɑːn/,,87,2
2962,lawn rake,/lˈɔn rˈeɪk/,,90,1
2963,lawnmower,/lˈɔnmoʊɚ/,,90,2
2964,lawyer,/ˈlɑːjə/,,182,2
2965,lawyer’s,/lˈɔjɚ ˈɛs/,,182,1
2966,laxative,/lˈæksətɪv/,,111,1
2967,lay the table,/lˈeɪ ðə tˈeɪbəl/,,66,1
2968,lead singer,/lˈɛd sˈɪŋɚ/,,260,1
2969,leaded,/lˈɛdɪd/,,201,1
2970,leaf,/liːf/,,124,1
2971,leaf tree,/lˈif trˈi/,,298,1
2972,leaflets,/lˈifləts/,,98,1
2973,league,/liːg/,,225,1
2974,lean meat,/lˈin mˈit/,,120,1
2975,leather,/ˈleðə/,,34,1
2976,leather shoe,/lˈɛðɚ ʃˈu/,,39,1
2977,leathers,/ˈleðə/,,207,1
2978,Lebanon,/ˈlebənən/,,320,1
2979,lecturer,/lˈɛktʃɚɚ/,,171,1
2980,leek,/liːk/,,127,1
2981,left,/left/,,262,1
2982,leg,/leg/,,14,3
2983,leg pad,/lˈɛg pˈæd/,,227,1
2984,leg press,/lˈɛg prˈɛs/,,253,1
2985,legal advice,/lˈigəl ædvˈaɪs/,,182,1
2986,legal department,/lˈigəl dɪpˈɑrtmənt/,,177,1
2987,leggings,/lˈɛgɪŋz/,,33,1
2988,LEISURE,/ˈliːʒə/,,255,25
2989,lemon curd,/lˈɛmən kɝd/,,136,1
2990,lemon grass,/lˈɛmən grˈæs/,,135,1
2991,lemon sole,/lˈɛmən soʊl/,,122,1
2992,lemonade,/lˈɛmənˈeɪd/,,146,1
2993,length,/leŋθ/,,167,2
2994,lens,/lenz/,,53,3
2995,lens caps,/lˈɛnz kˈæps/,,272,1
2996,lens case,/lˈɛnz kˈeɪs/,,53,1
2997,LES SPORTS,/lˈɛs spˈɔrts/,,234,1
2998,Lesotho,/lɛsoʊθoʊ/,,319,1
2999,lesson,/ˈlesn/,,165,1
3000,letter,/ˈletə/,,100,1
3001,letterbox,/lɛttɛrrbɑks/,是,60,2
3002,letterhead,/lˈɛtɚhˌɛd/,,175,1
3003,lettuce,/ˈletis/,,125,1
3004,lever,/ˈlevə/,,63,2
3005,lever arch file clipboard,/lˈɛvɚ ˈɑrtʃ fˈaɪl klˈɪpbˌɔrd/,,175,1
3006,Liberia,/lˌaɪbˈɪrˌiə/,,319,1
3007,librarian,/laɪˈbrɛrriən/,,170,2
3008,library,/ˈlaɪbrəri/,,301,1
3009,licence plate,/lˈaɪsəns plˈeɪt/,,200,1
3010,lid,/lid/,,63,3
3011,Liechtenstein,/lˈɪktənstˌaɪn/,,318,1
3012,life events,/lˈaɪf ɪvˈɛnts/,,28,1
3013,life jacket,/lˈaɪf dʒˈækət/,,242,1
3014,life raft,/lˈaɪf rˈæft/,,242,1
3015,lifeboat,/lˈaɪfboʊt/,,216,1
3016,lifebuoy,/lɪfɛbʌɑaɪ/,是,242,1
3017,lifeguard,/ˈlaɪfgɑːd/,,241,2
3018,lifeguard tower,/lˈaɪfgˌɑrd tˈaʊɚ/,,267,1
3019,lift,/lift/,,61,2
3020,ligament,/lˈɪgəmənt/,,19,1
3021,light,/laɪt/,,180,3
3022,light a,/lˈaɪt ə/,,268,1
3023,light aircraft,/lˈaɪt ˈɛrkrˌæft/,,213,1
3024,lighter,/ˈlaɪtə/,,114,1
3025,lighthouse,/lˈaɪthˌaʊs/,,219,1
3026,lighting,/ˈlaɪtiŋ/,,107,1
3027,lightmeter,/laɪtmɛtɛrr/,是,272,1
3028,lightning,/ˈlaɪtniŋ/,,289,1
3029,lights,/laɪts/,,96,1
3030,lights switch,/lˈaɪts swˈɪtʃ/,,203,1
3031,lily,/ˈlili/,,112,1
3032,lime,/laɪm/,,128,2
3033,limestone,/lˈaɪmstoʊn/,,290,1
3034,limousine,/lˈɪməzˌin/,,201,1
3035,line,/laɪn/,,246,1
3036,line judge,/lˈaɪn dʒˈʌdʒ/,,222,1
3037,line of play,/lˈaɪn ˈʌv plˈeɪ/,,235,1
3038,linen,/lˈɪnən/,,107,2
3039,linen basket,/lˈɪnən bˈæskət/,,78,1
3040,lines,/laɪn/,,167,1
3041,linesman,/lɪnɛsmæn/,是,225,2
3042,lingerie,/lˈɑnʒɚˌeɪ/,,37,2
3043,lining,/lˈaɪnɪŋ/,,34,1
3044,lining paper,/lˈaɪnɪŋ pˈeɪpɚ/,,85,1
3045,link,/liŋk/,,38,1
3046,lintel,/lˈɪntəl/,,188,1
3047,lion,/ˈlaɪrn/,,293,1
3048,lip,/lip/,,16,1
3049,lip brush,/lˈɪp brˈʌʃ/,,42,1
3050,lip gloss,/lˈɪp glˈɔs/,,42,1
3051,lip liner,/lˈɪp lˈaɪnɚ/,,42,1
3052,lipstick,/ˈlipstik/,,42,1
3053,liqueur,/lɪkɝ/,,147,1
3054,liquid,/ˈlikwid/,,79,1
3055,liquorice,/lɪkwɔrrɪs/,是,115,1
3056,literature,/ˈlitərətʃə/,,164,1
3057,literature diploma,/lˈɪtɚətʃɚ dɪploʊmɑ/,,171,1
3058,Lithuania,/lˌɪθəwˈeɪniə/,,318,1
3059,litre,/lɪtr/,是,313,1
3060,little finger,/lˈɪtəl fˈɪŋgɚ/,,17,1
3061,little toe,/lˈɪtəl toʊ/,,17,1
3062,live,/liv/,,62,2
3063,live rail,/lˈaɪv rˈeɪl/,,211,1
3064,liver,/ˈlivə/,,20,2
3065,livestock,/ˈlaɪvstɑk/,,184,2
3066,living room,/lˈɪvɪŋ rˈum/,,64,1
3067,lizard,/ˈlizəd/,,295,1
3068,load,/loʊd/,,78,1
3069,loaf,/loʊf/,,141,1
3070,loan,/loʊn/,,98,2
3071,loans desk,/loʊnz dˈɛsk/,,170,1
3072,lob,/lˈɑb/,,233,1
3073,lobby,/ˈlɑbi/,,102,2
3074,lobster,/ˈlɑbstə/,,123,1
3075,lock,/lɑk/,,61,2
3076,lockers,/ˈlɑkə/,,241,1
3077,log on,/lˈɔg ˈɑn/,,179,1
3078,loganberry,/lɑɡænbɛrrraɪ/,是,129,1
3079,logo,/ˈloʊgoʊ/,,33,1
3080,loin,/lˈɔɪn/,,123,1
3081,lollipop,/ˈlɑlipɑp/,,115,1
3082,long jump,/lˈɔŋ dʒˈʌmp/,,237,1
3083,long shoes,/lˈɔŋ ʃˈuz/,,34,1
3084,long sight,/lˈɔŋ sˈaɪt/,,53,1
3085,long wave,/lˈɔŋ wˈeɪv/,,181,1
3086,long-grain,/lˈɔŋ grˈeɪn/,,132,1
3087,long-handled shears,/ʃiəz/,,90,1
3088,longitude,/ˈlɑndʒitjuːd/,,285,1
3089,loofah,/lufæh/,是,75,1
3090,loom,/lˈum/,,279,1
3091,loose leaf tea bottled water,/lˈus lˈif tˈi bˈɑtəld wˈɔtɚ/,,146,1
3092,lorry,/lˈɔri/,,196,1
3093,lorry driver,/lˈɔri drˈaɪvɚ/,,192,1
3094,lose,/luːz/,,275,1
3095,loser,/lˈuzɚ/,,275,1
3096,lottery tickets,/lˈɑtɚi tˈɪkəts/,,114,1
3097,love,/lʌv/,,232,1
3098,low,/loʊ/,,323,1
3099,luge,/lˈudʒ/,,249,1
3100,luggage,/ˈlʌgidʒ/,,102,3
3101,luggage department,/lˈʌgədʒ dɪpˈɑrtmənt/,,106,1
3102,luggage hold,/lˈʌgədʒ hoʊld/,,198,1
3103,luggage rack,/lˈʌgədʒ rˈæk/,,211,1
3104,lumbar vertebrae,/lˈʌmbˌɑr vɝtəbrˌeɪ/,,19,1
3105,lunch,/lʌntʃ/,,66,1
3106,lunch menu,/lˈʌntʃ mˈɛnju/,,154,1
3107,lung,/lʌŋ/,,20,1
3108,lunge,/lʌŋ/,,253,1
3109,lupins,/lˈupən/,,299,1
3110,lure,/lˈʊr/,,246,1
3111,Luxembourg,/ˈluksəm,bəː/,,318,1
3112,lychee,/ˈliːtʃiː/,,130,1
3113,lymphatic,/lˌɪmfˈætɪk/,,21,1
3114,lyrics,/lˈɪrɪks/,,261,1
3115,ma,/mˈɑ/,,205,1
3116,ma Exit,/mˈɑ ˈɛgzɪt/,,324,1
3117,macadamia,/mˌækədˈeɪmiə/,,131,1
3118,mace,/mæk/,,134,1
3119,Macedonia,/mˌæsədoʊniə/,,318,1
3120,machinery,/məʃˈinɚi/,,189,1
3121,mackerel,/mˈækɚəl/,,122,1
3122,Madagascar,/mædəˈæskə/,,319,1
3123,magazine,/mˈægəzˌin/,,114,1
3124,magma,/mˈægmə/,,285,1
3125,magnesium,/mægˈniːziəm/,,111,1
3126,magnet,/ˈmægnit/,,169,1
3127,maid service,/mˈeɪd sɝvəs/,,103,1
3128,mailbag,/mˈeɪlbˌæg/,,100,2
3129,main course,/mˈeɪn kˈɔrs/,,155,1
3130,mains supply,/mˈeɪnz səplˈaɪ/,,62,1
3131,mainsail,/meɪnseɪl/,是,242,1
3132,make a will,/mˈeɪk ə wˈɪl/,,28,1
3133,make friends,/mˈeɪk frˈɛndz/,,28,1
3134,make the bed,/mˈeɪk ðə bˈɛd/,,73,1
3135,make-up,/ˈmeɪkʌp/,,42,1
3136,making bread,/mˈeɪkɪŋ brˈɛd/,,140,1
3137,malachite,/mælætʃɪt/,是,291,1
3138,Malawi,/məlˈɑwi/,,319,1
3139,Malaysia,/məˈleɪziə/,,320,1
3140,Maldives,/ˈmɔldaɪvz,ˈmæl-/,,320,1
3141,male,/meɪl/,,14,2
3142,mallet,/mˈælɪt/,,277,1
3143,Malta,/mˈɔltə/,,318,1
3144,malted drink,/mˈɔltəd drˈɪŋk/,,146,1
3145,mammals,/mæməl/,,292,1
3146,man,/mæn/,,25,1
3147,manager,/ˈmænidʒə/,,176,1
3148,managing,/ˈmænidʒiŋ/,,177,1
3149,manchego,/mæntʃɛɡɑ/,是,144,1
3150,mane,/mæn/,,244,2
3151,mango,/ˈmæŋgoʊ/,,130,1
3152,mangosteen,/ˈmæŋgəstiːn/,,130,1
3153,manhole,/mˈænhoʊl/,,301,1
3154,manicure,/mˈænɪkjɚ/,,43,1
3155,mantelpiece,/mæntɛlpis/,是,65,1
3156,mantle,/mˈæntəl/,,284,1
3157,manual,/ˈmænjuəl/,,202,1
3158,map,/mæp/,,197,2
3159,maple,/ˈmeɪpl/,,298,1
3160,maple syrup,/mˈeɪpəl sɝəp/,,136,1
3161,maracas,/mˌɑrˈɑkɑz/,,259,1
3162,marathon,/mˈɛrəθˌɑn/,,236,1
3163,marble,/ˈmɑːbl/,,290,1
3164,March,/mɑːtʃ/,,308,1
3165,margarine,/mˈɑrdʒɚən/,,139,1
3166,marinated,/mˈɛrənˌeɪtɪd/,,145,1
3167,marine,/məˈriːn/,,247,1
3168,marjoram,/mˈɑdʒɚəm/,,135,1
3169,mark,/mɑːk/,,229,1
3170,marketing department,/mˈɑrkətɪŋ dɪpˈɑrtmənt/,,177,1
3171,marmalade,/mˈɑrməlˌeɪd/,,136,2
3172,marrow,/ˈmæroʊ/,,126,1
3173,Mars,/mɑːz/,,282,1
3174,marshmallow,/mˈɑrʃmˌɛloʊ/,,115,1
3175,martial arts,/mˈɑrʃəl ˈɑrts/,,239,1
3176,martini,/mɑrtˈini/,,153,1
3177,marzipan,/mˈɑrzəpæn/,,143,1
3178,mascara,/mæˈskɑːrə/,,42,1
3179,masher,/mæʃɛrr/,是,70,1
3180,mask,/mæsk/,,191,5
3181,masking tape,/mˈæskɪŋ tˈeɪp/,,85,1
3182,masonry bit,/mˈeɪsənri bˈɪt/,,82,1
3183,massage,/ˈmæsɑːʒ/,,56,1
3184,mast,/mˈæst/,,242,1
3185,masters,/ˈmɑːstə/,,171,1
3186,mat,/mˈæt/,,56,4
3187,match,/mætʃ/,,232,1
3188,matches,/mætʃ/,,114,1
3189,material,/məˈtiəriəl/,,278,1
3190,materials,/məˈtiəriəl/,,81,2
3191,maternity,/məˈtəːniti/,,51,1
3192,maternity ward,/mətɝnɪti wˈɔrd/,,50,1
3193,maths,/mæθs/,,164,2
3194,mattress,/ˈmætris/,,72,2
3195,Mauritania,/mˌɔrɪtˈeɪniə/,,319,1
3196,Mauritius,/mɔrˈɪtiəs/,,319,1
3197,May,/meɪ/,,308,1
3198,May I,/mˈeɪ ˈaɪ/,,324,1
3199,May I exchange,/mˈeɪ ˈaɪ ɪkstʃˈeɪndʒ/,,106,1
3200,May I have a slice,/mˈeɪ ˈaɪ hˈæv ə slˈaɪs/,,142,1
3201,May I have six slices of that,/mˈeɪ ˈaɪ hˈæv sˈɪks slˈaɪsəz ˈʌv ðˈæt/,,145,1
3202,May I have some,/mˈeɪ ˈaɪ hˈæv sˈʌm/,,325,1
3203,May I try this Do you have this in a,/mˈeɪ ˈaɪ trˈaɪ ðˈɪs dˈu jˈu hˈæv ðˈɪs ɪn ə/,,34,1
3204,May we have the,/mˈeɪ wˈi hˈæv ðə/,,325,1
3205,Maybe,/mˈeɪbi/,,324,1
3206,mayonnaise,/meɪrˈneɪz/,,137,1
3207,MD,/ˌɛmdˈi/,,270,1
3208,MDF,/mdf/,是,81,1
3209,meadow,/ˈmedoʊ/,,287,1
3210,meal,/miːl/,,66,1
3211,measles,/mˈizəlz/,,46,1
3212,measure,/ˈmeʒə/,,152,3
3213,measurements,/ˈmeʒədmənt/,,167,1
3214,measuring jug,/mˈɛʒɚɪŋ dʒˈʌg/,,71,1
3215,measuring spoon,/mˈɛʒɚɪŋ spˈun/,,111,1
3216,meat,/miːt/,,120,1
3217,meat and poultry,/mˈit ənd poʊltri/,,109,1
3218,meat hook lamb,/mˈit hˈʊk lˈæm/,,120,1
3219,meat tenderizer,/miːt/,,70,1
3220,mechanic,/miˈkænik/,,190,2
3221,mechanical digger,/məkˈænɪkəl dˈɪgɚ/,,189,1
3222,mechanics,/miˈkæniks/,,204,1
3223,medals,/ˈmedl/,,237,1
3224,media,/ˈmiːdiə/,,180,1
3225,medical,/ˈmedikl/,,47,1
3226,medication,/mˌɛdəkˈeɪʃən/,,111,1
3227,medicine,/ˈmedisin/,,111,2
3228,medicine cabinet,/mˈɛdəsən kˈæbənət/,,74,1
3229,meditation,/mˌɛdətˈeɪʃən/,,56,1
3230,Mediterranean Sea,/mˌɛdətɚˈeɪniən sˈi/,,315,1
3231,medium wave,/mˈidiəm wˈeɪv/,,181,1
3232,meeting room,/mˈitɪŋ rˈum/,,176,1
3233,melody,/ˈmelədi/,,261,1
