No.,English,中文,拼音,中文+拼音
2631,reserve (v),预订,yùdìng,预订 yùdìng
2632,renew (v),续借,xùjiè,续借 xùjiè
2633,research,研究,yánjiū,研究 yánjiū
2634,masters,硕士学位,shuòshìxuéwèi,硕士学位 shuòshìxuéwèi
2635,doctorate,博士学位,bóshìxuéwèi,博士学位 bóshìxuéwèi
2636,thesis,论文,lùnwén,论文 lùnwén
2637,model,模特,mótè,模特 mótè
2638,zoology,动物学,dòngwùxué,动物学 dòngwùxué
2639,politics,政治学,zhèngzhìxué,政治学 zhèngzhìxué
2640,scholarship,奖学金,jiǎngxuéjīn,奖学金 jiǎngxuéjīn
2641,diploma,文凭,wénpíng,文凭 wénpíng
2642,degree,学位,xuéwèi,学位 xuéwèi
2643,postgraduate,研究生阶段的,yánjiūshēng jiēduànde,研究生阶段的 yánjiūshēng jiēduànde
2644,music school,音乐学院,yīnyuèxuéyuàn,音乐学院 yīnyuèxuéyuàn
2645,graduate,毕业生,bìyèshēng,毕业生 bìyèshēng
2646,philosophy,哲学,zhéxué,哲学 zhéxué
2647,history of art,艺术史,yìshùshǐ,艺术史 yìshùshǐ
2648,economics,经济学,jīngjìxué,经济学 jīngjìxué
2649,dance academy,舞蹈学院,wǔdǎoxuéyuàn,舞蹈学院 wǔdǎoxuéyuàn
2650,undergraduate,大学生,dàxuéshēng,大学生 dàxuéshēng
2651,dissertation,学位论文,() (xuéwèi) lùnwén,学位论文 () (xuéwèi) lùnwén
2652,department,系,xì,系 xì
2653,law,法律,fǎlǜ,法律 fǎlǜ
2654,engineering,工程学,gōngchéngxué,工程学 gōngchéngxué
2655,art college,美术学院,měishùxuéyuàn,美术学院 měishùxuéyuàn
2656,lecturer,讲师,jiǎngshī,讲师 jiǎngshī
2657,work,工作,gōngzuò,工作 gōngzuò
2658,label,标签,biāoqiān,标签 biāoqiān
2659,wastebasket,废纸篓,fèizhǐlǒu,废纸篓 fèizhǐlǒu
2660,enlarge (v),放大,fàngdà,放大 fàngdà
2661,reduce (v),缩小,suōxiǎo,缩小 suōxiǎo
2662,swivel chair,转椅,zhuànyǐ,转椅 zhuànyǐ
2663,paper guide,送纸器,sòngzhǐqì,送纸器 sòngzhǐqì
2664,desktop organizer,笔筒,bǐtǒng,笔筒 bǐtǒng
2665,paper tray,纸盒,zhǐhé,纸盒 zhǐhé
2666,in-tray,收件篮,shōujiànlán,收件篮 shōujiànlán
2667,print (v),打印,dǎyìn,打印 dǎyìn
2668,copy (v),复印,fùyìn,复印 fùyìn
2669,keyboard,键盘,jiànpán,键盘 jiànpán
2670,filing cabinet,文件柜,wénjiànguì,文件柜 wénjiànguì
2671,out-tray,发件篮,fājiànlán,发件篮 fājiànlán
2672,drawer unit,组合抽屉,zǔhéchōutì,组合抽屉 zǔhéchōutì
2673,computer,计算机,jìsuànjī,计算机 jìsuànjī
2674,telephone,电话,diànhuà,电话 diànhuà
2675,I need to make some copies.,我要复印,。 wǒ yào fùyìn.,我要复印 。 wǒ yào fùyìn.
2676,rubber stamp,橡皮图章,xiàngpítúzhāng,橡皮图章 xiàngpítúzhāng
2677,note pad,便笺,biànjiān,便笺 biànjiān
2678,lever arch file,盒式文件夹,héshì wénjiànjiā,盒式文件夹 héshì wénjiànjiā
2679,stapler,订书机,dìngshūjī,订书机 dìngshūjī
2680,tape dispenser,胶带架,jiāodàijià,胶带架 jiāodàijià
2681,envelope,信封,xìnfēng,信封 xìnfēng
2682,letterhead,印有笺头的信纸,yìn yǒu jiāntóude xìnzhǐ,印有笺头的信纸 yìn yǒu jiāntóude xìnzhǐ
2683,ink pad,印台,yìntái,印台 yìntái
2684,bulldog clip,强力纸夹,qiánglìzhǐjiá,强力纸夹 qiánglìzhǐjiá
2685,paper clip,曲别针,qūbiézhēn,曲别针 qūbiézhēn
2686,divider,分隔页,fēngéyè,分隔页 fēngéyè
2687,box file,文件盒,wénjiànhé,文件盒 wénjiànhé
2688,personal organizer,备忘录,bèiwànglù,备忘录 bèiwànglù
2689,tab,标签,biāoqiān,标签 biāoqiān
2690,drawing pin,图钉,túdīng,图钉 túdīng
2691,clipboard,带纸夹的笔记板,dài zhǐjiáde bǐjìbǎn,带纸夹的笔记板 dài zhǐjiáde bǐjìbǎn
2692,concertina file,格式文件夹,géshì wénjiànjiā,格式文件夹 géshì wénjiànjiā
2693,sticky tape,透明胶带,tòumíngjiāodài,透明胶带 tòumíngjiāodài
2694,compliments slip,礼帖,lǐtiē,礼帖 lǐtiē
2695,rubber band,皮筋,píjīn,皮筋 píjīn
2696,hole punch,打孔器,dǎkǒngqì,打孔器 dǎkǒngqì
2697,hanging file,悬挂式文件夹,xuánguàshì wénjiànjiā,悬挂式文件夹 xuánguàshì wénjiànjiā
2698,staples,订书钉,dìngshūdīng,订书钉 dìngshūdīng
2699,easel,挂图架,guàtújià,挂图架 guàtújià
2700,flipchart,活动挂图,huódòngguàtú,活动挂图 huódòngguàtú
2701,report,报告,bàogào,报告 bàogào
2702,executive,主管,zhǔguǎn,主管 zhǔguǎn
2703,attend (v),参加,cānjiā,参加 cānjiā
2704,chair (v),主持,zhǔchí,主持 zhǔchí
2705,speaker,讲解人,jiǎngjiěrén,讲解人 jiǎngjiěrén
2706,projector,幻灯机,huàndēngjī,幻灯机 huàndēngjī
2707,proposal,提案,tí’àn,提案 tí’àn
2708,What time is the meeting?,什么时候开会,？ shénme shíhòu kāihuì?,什么时候开会 ？ shénme shíhòu kāihuì?
2709,What are your ofﬁce hours?,您几点上下班,？ nín jǐdiǎn shàngxiàbān?,您几点上下班 ？ nín jǐdiǎn shàngxiàbān?
2710,minutes,会议记录,huìyìjìlù,会议记录 huìyìjìlù
2711,meeting room,会议室,huìyìshì,会议室 huìyìshì
2712,agenda,议程,yìchéng,议程 yìchéng
2713,palmtop,掌上电脑,zhǎngshàng diànnǎo,掌上电脑 zhǎngshàng diànnǎo
2714,director,总经理,zǒngjīnglǐ managing,总经理 zǒngjīnglǐ managing
2715,businessman,商人,shāngrén,商人 shāngrén
2716,notes,笔记,bǐjì,笔记 bǐjì
2717,laptop,笔记本电脑,bǐjìběn diànnǎo,笔记本电脑 bǐjìběn diànnǎo
2718,accounts department,会计部,kuàijìbù,会计部 kuàijìbù
2719,marketing department,市场部,shìchǎngbù,市场部 shìchǎngbù
2720,sales department,销售部,xiāoshòubù,销售部 xiāoshòubù
2721,company,公司,gōngsī,公司 gōngsī
2722,head ofﬁce,总部总公司,"， zǒngbù, zǒnggōngsī","总部总公司 ， zǒngbù, zǒnggōngsī"
2723,branch,分部分公司,"， fēnbù, fēngōngsī","分部分公司 ， fēnbù, fēngōngsī"
2724,legal department,法律事务部,fǎlǜshìwùbù,法律事务部 fǎlǜshìwùbù
2725,customer service department,客户服务部,kèhùfúwùbù,客户服务部 kèhùfúwùbù
2726,personnel department,人力资源部,rénlìzīyuánbù,人力资源部 rénlìzīyuánbù
2727,businesswoman,女商人,nǚshāngrén,女商人 nǚshāngrén
2728,staff,员工,yuángōng,员工 yuángōng
2729,salary,薪水,xīnshuǐ,薪水 xīnshuǐ
2730,payroll,工资单,gōngzīdān,工资单 gōngzīdān
2731,server,服务器,fúwùqì,服务器 fúwùqì
2732,processor,处理器,chǔlǐqì,处理器 chǔlǐqì
2733,power cable,电源线,diànyuánxiàn,电源线 diànyuánxiàn
2734,memory,存储器,cúnchǔqì,存储器 cúnchǔqì
2735,RAM,随机存储器,suíjī cúnchǔqì,随机存储器 suíjī cúnchǔqì
2736,bytes,字节,zìjié,字节 zìjié
2737,system,系统,xìtǒng,系统 xìtǒng
2738,hardware,硬件,yìngjiàn,硬件 yìngjiàn
2739,hard drive,硬盘,yìngpán,硬盘 yìngpán
2740,scanner,扫描仪,sǎomiáoyí,扫描仪 sǎomiáoyí
2741,central processing unit,中央处理器,zhōngyāngchǔlǐqì,中央处理器 zhōngyāngchǔlǐqì
2742,software,软件,ruǎnjiàn,软件 ruǎnjiàn
2743,application,应用程序,yìngyòng chéngxù,应用程序 yìngyòng chéngxù
2744,program,程序,chéngxù,程序 chéngxù
2745,network,网络,wǎngluò,网络 wǎngluò
2746,mouse,鼠标,shǔbiāo,鼠标 shǔbiāo
2747,modem,调制解调器,tiáozhìjiětiáoqì,调制解调器 tiáozhìjiětiáoqì
2748,printer,打印机,dǎyìnjī,打印机 dǎyìnjī
2749,send (v),发送,fāsòng,发送 fāsòng
2750,receive (v),接收,jiēshōu,接收 jiēshōu
2751,service provider,服务商,fúwùshāng,服务商 fúwùshāng
2752,email account,电子邮件账户,diànzǐyóujiàn zhànghù,电子邮件账户 diànzǐyóujiàn zhànghù
2753,folder,文件夹,wénjiànjiā,文件夹 wénjiànjiā
2754,icon,图标,túbiāo,图标 túbiāo
2755,menubar,菜单栏,càidānlán,菜单栏 càidānlán
2756,website,网站,wǎngzhàn,网站 wǎngzhàn
2757,email address,电子邮件地址,diànzǐyóujiàn dìzhǐ,电子邮件地址 diànzǐyóujiàn dìzhǐ
2758,download (v),下载,xiàzǎi,下载 xiàzǎi
2759,attachment,附件,fùjiàn,附件 fùjiàn
2760,log on (v),登录,dēnglù,登录 dēnglù
2761,on-line,在线,zàixiàn,在线 zàixiàn
2762,font,字体,zìtǐ,字体 zìtǐ
2763,scrollbar,滚动条,gǔndòngtiáo,滚动条 gǔndòngtiáo
2764,inbox,收件箱,shōujiànxiāng,收件箱 shōujiànxiāng
2765,toolbar,工具栏,gōngjùlán,工具栏 gōngjùlán
2766,save (v),保存,bǎocún,保存 bǎocún
2767,search (v),搜索,sōusuǒ,搜索 sōusuǒ
2768,trash,回收站,huíshōuzhàn,回收站 huíshōuzhàn
2769,connect (v),连接,liánjiē,连接 liánjiē
2770,instal (v),安装,ānzhuāng,安装 ānzhuāng
2771,browser,浏览器,liúlǎnqì,浏览器 liúlǎnqì
2772,broadcast (v),播放,bōfàng,播放 bōfàng
2773,game show,游戏节目,yóuxìjiémù,游戏节目 yóuxìjiémù
2774,channel,频道,píndào,频道 píndào
2775,programming,节目编排,jiémùbiānpái,节目编排 jiémùbiānpái
2776,presenter,节目主持人,jiémùzhǔchírén,节目主持人 jiémùzhǔchírén
2777,cameraman,摄像师,shèxiàngshī,摄像师 shèxiàngshī
2778,set,布景,bùjǐng,布景 bùjǐng
2779,press,新闻媒体,xīnwénméitǐ,新闻媒体 xīnwénméitǐ
2780,series,电视连续剧,diànshì liánxùjù television,电视连续剧 diànshì liánxùjù television
2781,camera crane,摄像机升降器,shèxiàngjī shēngjiàngqì,摄像机升降器 shèxiàngjī shēngjiàngqì
2782,light,照明,zhàomíng,照明 zhàomíng
2783,news,新闻,xīnwén,新闻 xīnwén
2784,documentary,纪录片,jìlùpijìlùpiānn,纪录片 jìlùpijìlùpiānn
2785,cartoon,动画片,dònghuàpiān,动画片 dònghuàpiān
2786,prerecorded,录播,lùbō,录播 lùbō
2787,camera,摄像机,shèxiàngjī,摄像机 shèxiàngjī
2788,mixing desk,混音台,húnyīntái,混音台 húnyīntái
2789,microphone,话筒,huàtǒng,话筒 huàtǒng
2790,medium wave,中波,zhōngbō,中波 zhōngbō
2791,frequency,频率,pínlǜ,频率 pínlǜ
2792,tune (v),调音,tiáoyīn,调音 tiáoyīn
2793,DJ,流行音乐节目主持人,liúxíngyīnyuè jiémù zhǔchírén,流行音乐节目主持人 liúxíngyīnyuè jiémù zhǔchírén
2794,interviewer,采访记者,cǎifǎngjìzhě,采访记者 cǎifǎngjìzhě
2795,film set,电影布景,diànyǐngbùjǐng,电影布景 diànyǐngbùjǐng
2796,autocue,自动提示机,zìdòngtíshìjī,自动提示机 zìdòngtíshìjī
2797,sound technician,录音师,lùyīnshī,录音师 lùyīnshī
2798,radio station,广播电台,guǎngbōdiàntái,广播电台 guǎngbōdiàntái
2799,broadcast,广播,guǎngbō,广播 guǎngbō
2800,wavelength,波长,bōcháng,波长 bōcháng
2801,long wave,长波,chángbō,长波 chángbō
2802,short wave,短波,duǎnbō,短波 duǎnbō
2803,clapper board,场记板,chǎngjìbǎn,场记板 chǎngjìbǎn
2804,sound boom,录音吊杆,lùyīndiàogǎn,录音吊杆 lùyīndiàogǎn
2805,newsreader,新闻播音员,xīnwénbōyīnyuán,新闻播音员 xīnwénbōyīnyuán
2806,court case,诉讼案件,sùsòng ànjiàn,诉讼案件 sùsòng ànjiàn
2807,accused,被告,bèigào,被告 bèigào
2808,summons,传讯,chuánxùn,传讯 chuánxùn
2809,statement,陈辞,chéncí,陈辞 chéncí
2810,warrant,逮捕令,dàibǔlìng,逮捕令 dàibǔlìng
2811,jury,陪审团,péishěntuán,陪审团 péishěntuán
2812,prosecution,公诉,gōngsù,公诉 gōngsù
2813,lawyer,律师,lǜshī,律师 lǜshī
2814,witness,证人,zhèngrén,证人 zhèngrén
2815,writ,传票,chuánpiào,传票 chuánpiào
2816,court date,开庭日,kāitíngrì,开庭日 kāitíngrì
2817,plea,抗辩,kàngbiàn,抗辩 kàngbiàn
2818,court official,书记官,shūjìguān,书记官 shūjìguān
2819,court officer,庭警,tíngjǐng,庭警 tíngjǐng
2820,judge,法官,fǎguān,法官 fǎguān
2821,jury box,陪审席,péishěnxí,陪审席 péishěnxí
2822,lawyer’s ofﬁce,律师事务所,lǜshīshìwùsuǒ,律师事务所 lǜshīshìwùsuǒ
2823,legal advice,法律咨询,fǎlǜzīxún,法律咨询 fǎlǜzīxún
2824,I want to see a lawyer.,我要见律师,。 wǒ yào jiàn lǜshī.,我要见律师 。 wǒ yào jiàn lǜshī.
2825,Where is the courthouse?,法院在哪儿,? fǎyuàn zàinǎ’er?,法院在哪儿 ? fǎyuàn zàinǎ’er?
2826,Can I post bail?,我可以保释吗,? wǒ kěyǐ bǎoshì ma?,我可以保释吗 ? wǒ kěyǐ bǎoshì ma?
2827,guilty,有罪,yǒuzuì,有罪 yǒuzuì
2828,acquitted,无罪释放,wúzuìshìfàng,无罪释放 wúzuìshìfàng
2829,sentence,判刑,pànxíng,判刑 pànxíng
2830,defence,应诉方,yìngsùfāng,应诉方 yìngsùfāng
2831,criminal,罪犯,zuìfàn,罪犯 zuìfàn
2832,photofit,拼凑人像,pīncòurénxiàng I,拼凑人像 pīncòurénxiàng I
2833,bail,保释金,bǎoshìjīn,保释金 bǎoshìjīn
2834,appeal,上诉,shàngsù,上诉 shàngsù
2835,parole,假释,jiǎshì,假释 jiǎshì
2836,stenographer,速记员,sùjìyuán,速记员 sùjìyuán
2837,record,犯罪记录,fànzuìjìlù I criminal,犯罪记录 fànzuìjìlù I criminal
2838,evidence,证据,zhèngjù,证据 zhèngjù
2839,verdict,判决,pànjué,判决 pànjué
2840,innocent,无罪,wúzuì,无罪 wúzuì
2841,defendant,被告人,bèigàorén,被告人 bèigàorén
2842,cell,单人牢房,dānrénláofáng,单人牢房 dānrénláofáng
2843,pasture,牧场,mùchǎng,牧场 mùchǎng
2844,barn,谷仓,gǔcāng,谷仓 gǔcāng
2845,livestock,家畜,jiāchù,家畜 jiāchù
2846,outbuilding,附属建筑物,fùshǔ jiànzhùwù,附属建筑物 fùshǔ jiànzhùwù
2847,farmhouse,农舍,nóngshè,农舍 nóngshè
2848,cultivator,中耕机,zhōnggēngjī,中耕机 zhōnggēngjī
2849,vegetable plot,菜地,càidì,菜地 càidì
2850,farmer,农民,nóngmín,农民 nóngmín
2851,field,田地,tiándì,田地 tiándì
2852,farmland,农田,nóngtián,农田 nóngtián
2853,farmyard,农家场院,nóngjiā chǎngyuàn,农家场院 nóngjiā chǎngyuàn
2854,flock,羊群,yángqún,羊群 yángqún
2855,poultry farm,养鸡场,yǎngjīchǎng,养鸡场 yǎngjīchǎng
2856,trough,饲料槽,sìliàocáo,饲料槽 sìliàocáo
2857,plant (v),种植,zhòngzhí,种植 zhòngzhí
2858,herbicide,除草剂,chúcǎojì,除草剂 chúcǎojì
2859,milk (v),挤奶,jǐ’nǎi,挤奶 jǐ’nǎi
2860,vineyard,葡萄园,pútáoyuán,葡萄园 pútáoyuán
2861,dairy farm,乳牛场,rǔniúchǎng,乳牛场 rǔniúchǎng
2862,pig farm,养猪场,yǎngzhūchǎng,养猪场 yǎngzhūchǎng
2863,feed (v),饲养,sìyǎng,饲养 sìyǎng
2864,furrow,犁,lí,犁 lí
2865,vine,葡萄树,pútáoshù,葡萄树 pútáoshù
2866,fruit farm,果园,guǒyuán,果园 guǒyuán
2867,arable farm,种植园,zhòngzhíyuán,种植园 zhòngzhíyuán
2868,fish farm,养鱼场,yǎngyúchǎng,养鱼场 yǎngyúchǎng
2869,herd,牧群,mùqún,牧群 mùqún
2870,silo,地窖,dìjiào,地窖 dìjiào
2871,sheep farm,牧羊场,mùyángchǎng,牧羊场 mùyángchǎng
2872,plough (v),犁地,lídì,犁地 lídì
2873,sugarcane,甘蔗,gānzhè,甘蔗 gānzhè
2874,flax,亚麻,yàmá,亚麻 yàmá
2875,hay,干草,gāncǎo,干草 gāncǎo
2876,rapeseed,油菜籽,yóucàizǐ,油菜籽 yóucàizǐ
2877,bale,捆包,kǔnbāo,捆包 kǔnbāo
2878,cotton,棉花,miánhuā,棉花 miánhuā
2879,rice,水稻,shuǐdào,水稻 shuǐdào
2880,sunflower,向日葵,xiàngrìkuí,向日葵 xiàngrìkuí
2881,alfalfa,紫花苜蓿,zǐhuāmùxu,紫花苜蓿 zǐhuāmùxu
2882,scarecrow,稻草人,dàocǎorén,稻草人 dàocǎorén
2883,foal,马驹,mǎjū,马驹 mǎjū
2884,kid,小山羊,xiǎoshānyáng,小山羊 xiǎoshānyáng
2885,sheep,绵羊,miányáng,绵羊 miányáng
2886,duckling,小鸭,xiǎoyā,小鸭 xiǎoyā
2887,chicken coop,鸡舍,jīshè,鸡舍 jīshè
2888,stable,马厩,mǎjiù,马厩 mǎjiù
2889,cockerel,公鸡,gōngjī,公鸡 gōngjī
2890,donkey,驴,lǘ,驴 lǘ
2891,chick,小鸡,xiǎojī,小鸡 xiǎojī
2892,cow,母牛,mǔniú,母牛 mǔniú
2893,pig,猪,zhū,猪 zhū
2894,horse,马,mǎ,马 mǎ
2895,duck,鸭,yā,鸭 yā
2896,chicken,鸡,jī,鸡 jī
2897,piglet,小猪,xiǎozhū,小猪 xiǎozhū
2898,bull,公牛,gōngniú,公牛 gōngniú
2899,goat,山羊,shānyáng,山羊 shānyáng
2900,pigsty,猪圈,zhūjuàn,猪圈 zhūjuàn
2901,toolbelt,工具腰带,gōngjùyāodài,工具腰带 gōngjùyāodài
2902,hard hat,安全帽,ānquánmào,安全帽 ānquánmào
2903,cement mixer,水泥搅拌器,shuǐní jiǎobànqì,水泥搅拌器 shuǐní jiǎobànqì
2904,beam,梁,liáng,梁 liáng
2905,fork-lift truck,叉车,chāchē,叉车 chāchē
2906,scaffolding,脚手架,jiǎoshǒujià,脚手架 jiǎoshǒujià
2907,builder,建筑工人,jiànzhùgōngrén,建筑工人 jiànzhùgōngrén
2908,cement,水泥,shuǐní,水泥 shuǐní
2909,build (v),建造,jiànzào,建造 jiànzào
2910,rafter,椽子,chuánzǐ,椽子 chuánzǐ
2911,lintel,过梁,guòliáng,过梁 guòliáng
2912,building site,建筑工地,jiànzhùgōngdì,建筑工地 jiànzhùgōngdì
2913,pallet,承砖坯板,chéngzhuānpībǎn,承砖坯板 chéngzhuānpībǎn
2914,girder,大梁,dàliáng,大梁 dàliáng
2915,tarmac,柏油路面,bǎiyóulùmiàn,柏油路面 bǎiyóulùmiàn
2916,pickaxe,丁字镐,dīngzìgǎo,丁字镐 dīngzìgǎo
2917,sledgehammer,大锤,dàchuí,大锤 dàchuí
2918,shovel,铁锹,tiěqiāo,铁锹 tiěqiāo
2919,resurfacing,重铺路面,zhòngpū lùmiàn,重铺路面 zhòngpū lùmiàn
2920,roof tile,瓦片,wǎpiàn,瓦片 wǎpiàn
2921,timber,木材,mùcái,木材 mùcái
2922,support,支座,zhīzuò,支座 zhīzuò
2923,pneumatic drill,风钻,fēngzuàn,风钻 fēngzuàn
2924,concrete block,混凝土块,hùnníngtǔkuài,混凝土块 hùnníngtǔkuài
2925,dumper truck,翻斗卡车,fāndǒukǎchē,翻斗卡车 fāndǒukǎchē
2926,mechanical digger,挖掘机,wājuéjī,挖掘机 wājuéjī
2927,hook,吊钩,diàogōu,吊钩 diàogōu
2928,brick,砖,zhuān,砖 zhuān
2929,shop assistant,售货员,shòuhuòyuán,售货员 shòuhuòyuán
2930,florist,花商,huāshāng,花商 huāshāng
2931,gardener,园丁,yuándīng,园丁 yuándīng
2932,jeweller,珠宝匠,zhūbǎojiàng,珠宝匠 zhūbǎojiàng
2933,carpenter,木匠,mùjiàng,木匠 mùjiàng
2934,cleaner,吸尘器,xīchénqì vacuum,吸尘器 xīchénqì vacuum
2935,fishmonger,鱼贩,yúfàn,鱼贩 yúfàn
2936,plumber,水暖工,shuǐnuǎngōng,水暖工 shuǐnuǎngōng
2937,greengrocer,蔬菜水果商,shūcài shuǐguǒshāng,蔬菜水果商 shūcài shuǐguǒshāng
2938,electrician,电工,diàngōng,电工 diàngōng
2939,mechanic,机械师,jīxièshī,机械师 jīxièshī
2940,identity badge,徽章,huīzhāng,徽章 huīzhāng
2941,mask,口罩,kǒuzhào,口罩 kǒuzhào
2942,security guard,保安,bǎoān,保安 bǎoān
2943,optician,配镜师,pèijìngshī,配镜师 pèijìngshī
2944,policeman,警察,jǐngchá,警察 jǐngchá
2945,soldier,士兵,shìbīng,士兵 shìbīng
2946,fisherman,渔民,yúmín,渔民 yúmín
2947,machine-gun,机枪,jīqiāng,机枪 jīqiāng
2948,dentist,牙医,yáyī,牙医 yáyī
2949,estate agent,房地产商,fángdìchǎnshāng,房地产商 fángdìchǎnshāng
2950,sailor,水手,shuǐshǒu,水手 shuǐshǒu
2951,vet,兽医,shòuyī,兽医 shòuyī
2952,fireman,消防队员,xiāofángduìyuán,消防队员 xiāofángduìyuán
2953,travel agent,旅行代理,lǚxíngdàilǐ,旅行代理 lǚxíngdàilǐ
2954,air stewardess,空中小姐,kōngzhōngxiǎojiě,空中小姐 kōngzhōngxiǎojiě
2955,lorry driver,卡车司机,kǎchē sījī,卡车司机 kǎchē sījī
2956,scientist,科学家,kēxuéjiā,科学家 kēxuéjiā
2957,chef’s hat,厨师帽,chúshīmào,厨师帽 chúshīmào
2958,bus driver,公共汽车司机,gōnggòngqìchē sījī,公共汽车司机 gōnggòngqìchē sījī
2959,taxi driver,出租车司机,chūzūchē sījī,出租车司机 chūzūchē sījī
2960,pilot,飞行员,fēixíngyuán,飞行员 fēixíngyuán
2961,tutu,芭蕾舞裙,bālěiwǔqún,芭蕾舞裙 bālěiwǔqún
2962,waitress,女侍者,nǚshìzhě,女侍者 nǚshìzhě
2963,tailor,裁缝,cáiféng,裁缝 cáiféng
2964,editor,编辑,biānjí,编辑 biānjí
2965,sculptor,雕塑家,diāosùjiā,雕塑家 diāosùjiā
2966,designer,制图员,zhìtúyuán,制图员 zhìtúyuán
2967,dancer,舞蹈演员,wǔdǎoyǎnyuán,舞蹈演员 wǔdǎoyǎnyuán
2968,actor,演员,yǎnyuán,演员 yǎnyuán
2969,barman,酒保,jiǔbǎo,酒保 jiǔbǎo
2970,photographer,摄影师,shèyǐngshī,摄影师 shèyǐngshī
2971,painter,画家,huàjiā,画家 huàjiā
2972,singer,歌手,gēshǒu,歌手 gēshǒu
2973,seamstress,女缝纫师,nǚféngrènshī,女缝纫师 nǚféngrènshī
2974,sportsman,运动员,yùndòngyuán,运动员 yùndòngyuán
2975,journalist,新闻记者,xīnwén jìzhě,新闻记者 xīnwén jìzhě
2976,musician,音乐家,yīnyuèjiā,音乐家 yīnyuèjiā
2977,transport,交通运输,jiāotōngyùnshū,交通运输 jiāotōngyùnshū
2978,junction,交汇处,jiāohuìchù,交汇处 jiāohuìchù
2979,outside lane,外车道,wàichēdào,外车道 wàichēdào
2980,middle lane,中央车道,zhōngyāngchēdào,中央车道 zhōngyāngchēdào
2981,motorway,高速公路,gāosùgōnglù,高速公路 gāosùgōnglù
2982,road markings,路面标志,lùmiànbiāozhì,路面标志 lùmiànbiāozhì
2983,slip road,主路入口,zhǔlùrùkǒu,主路入口 zhǔlùrùkǒu
2984,traffic,交通,jiāotōng,交通 jiāotōng
2985,inside lane,内车道,nèichēdào,内车道 nèichēdào
2986,central reservation,中央分车带,zhōngyāng fēnchēdài,中央分车带 zhōngyāng fēnchēdài
2987,flyover,立交桥,lìjiāoqiáo,立交桥 lìjiāoqiáo
2988,one-way,单行,dānxíng,单行 dānxíng
2989,toll booth,收费站,shōufèizhàn,收费站 shōufèizhàn
2990,traffic light,交通信号灯,jiāotōng xìnhàodēng,交通信号灯 jiāotōng xìnhàodēng
2991,hard shoulder,硬质路肩,yìngzhìlùjiān,硬质路肩 yìngzhìlùjiān
2992,underpass,高架桥下通道,gāojià qiáoxià tōngdào,高架桥下通道 gāojià qiáoxià tōngdào
2993,exit ramp,出口,chūkǒu,出口 chūkǒu
2994,lorry,载重汽车,zàizhòngqìchē,载重汽车 zàizhòngqìchē
2995,carriageway,的复式车道,) (yǒu zhōngyāng fēngédàide) fùshì chēdào dual,的复式车道 ) (yǒu zhōngyāng fēngédàide) fùshì chēdào dual
2996,park (v),停车,tíngchē,停车 tíngchē
2997,drive (v),驾驶,jiàshǐ,驾驶 jiàshǐ
2998,reverse (v),倒车,dàochē,倒车 dàochē
2999,Is this the road to...?,这是去的路吗,... ？ zhèshìqù... de lù ma?,这是去的路吗 ... ？ zhèshìqù... de lù ma?
3000,Where can I park?,哪里可以停车,？ nǎli kěyǐ tíngchē?,哪里可以停车 ？ nǎli kěyǐ tíngchē?
3001,traffic policeman,交通警察,jiāotōng jǐngchá,交通警察 jiāotōng jǐngchá
3002,emergency phone,求救电话,qiújiù diànhuà,求救电话 qiújiù diànhuà
3003,disabled parking,残疾人停车处,cánjírén tíngchēchù,残疾人停车处 cánjírén tíngchēchù
3004,parking meter,停车计时收费器,tíngchē jìshí shōufèiqì,停车计时收费器 tíngchē jìshí shōufèiqì
3005,hazard,危险,wēixiǎn,危险 wēixiǎn
3006,no entry,禁行,jìnxíng,禁行 jìnxíng
3007,map,地图,dìtú,地图 dìtú
3008,roundabout,环行路,dàolù jiāochāchùde huánxínglù,环行路 dàolù jiāochāchùde huánxínglù
3009,diversion,绕行道路,ràoxíngdàolù,绕行道路 ràoxíngdàolù
3010,roadworks,道路施工,dàolùshīgōng,道路施工 dàolùshīgōng
3011,crash barrier,防撞护栏,fángzhuànghùlán,防撞护栏 fángzhuànghùlán
3012,pedestrian crossing,人行横道,rénxínghéngdào,人行横道 rénxínghéngdào
3013,speed limit,限速,xiànsù,限速 xiànsù
3014,overtake (v),超车,chāochē,超车 chāochē
3015,tow away (v),拖走,tuōzǒu,拖走 tuōzǒu
3016,traffic jam,人行横道,rénxínghéngdào,人行横道 rénxínghéngdào
3017,no stopping,禁止停车,jìnzhǐ tíngchē,禁止停车 jìnzhǐ tíngchē
3018,no right turn,禁止右转,jìnzhǐ yòuzhuǎn,禁止右转 jìnzhǐ yòuzhuǎn
3019,driver,司机,sījī,司机 sījī
3020,front wheel,前轮,qiánlún,前轮 qiánlún
3021,luggage hold,行李舱,xínglicāng,行李舱 xínglicāng
3022,trolley bus,无轨电车,wúguǐdiànchē,无轨电车 wúguǐdiànchē
3023,automatic door,自动门,zìdòngmén,自动门 zìdòngmén
3024,tram,有轨电车,yǒuguǐdiànchē,有轨电车 yǒuguǐdiànchē
3025,handrail,扶手,fúshǒu,扶手 fúshǒu
3026,driver’s seat,驾驶席,jiàshǐxí,驾驶席 jiàshǐxí
3027,route number,公交线路号,gōngjiāoxiànlùhào,公交线路号 gōngjiāoxiànlùhào
3028,double-decker bus,双层公共汽车,shuāngcéng gōnggòngqìchē,双层公共汽车 shuāngcéng gōnggòngqìchē
